Agregat_Budget;Code_Sage;Libelle_SAGE;;Janvier;Fevrier;Mars;Avril;Mai;Juin;Juillet;Aout;Septembre;Octobre;Novembre;Decembre;Budget_2025_cloture;;Forecast_8_4;;Ecart_Valeur 
Fonctionnement courant;6260001T;FRAIS POSTAUX ;;-338.05;0.0;-105.5;0.0;0.0;0.0;0.0;0.0;-300.0;-300.0;-300.0;-300.0;-1643.55;;-1643.55;;0.0
Fonctionnement courant;6260003T;FRAIS DE TELECOM ORANGE ;;-10148.154;0.0;0.0;0.0;-154.716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-10302.87;;-10302.87;;0.0
Fonctionnement courant;6260004T;CONNEXION PHC DZ ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0
Fonctionnement courant;6261000T;IMPRESSION ET DOCUMENTATION  ;;-1358.195;-3885.499;0.0;0.0;-1058.555;-3318.244;0.0;0.0;0.0;0.0;0.0;0.0;-9620.493;;-9620.493;;0.0
Fonctionnement courant;6270000T;Services bancaires et assimilés ;;-26357.981;-1598.437;-29575.672;-9989.428;4528.422;-13035.315;-482.971;-391.079;-12500.0;-12500.0;-12500.0;-12500.0;-126902.461;;-180902.461;;54000.000000000015
Fonctionnement courant;6270001T;COMMISSION BANCAIRE TRAPSA ;;0.0;0.0;-44.625;0.0;-135.066;-108.29;-5.95;-15.173;-50.0;-50.0;-50.0;-50.0;-509.104;;-509.104;;0.0
;;Fonctionnement Courant;;-133938.16100000002;-107131.336;-135783.554;-119267.57299999999;-155984.63999999998;-122476.455;-124345.304;-97428.87599999999;-131183.0;-132183.0;-132183.0;-132187.0;-1524091.899;;-1521087.771;;-3004.128000000026
;;;;;;;;;;;;;;;;;;;;
;;Frais Informatique ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
;xxxxxxxT;PENALITE DE RETARD ;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0
Autres charges;6040001T;GESTE COMMERCIAL ;;-400.0;0.0;-1927.147;0.0;-500.0;0.0;0.0;0.0;-1000.0;-1050.0;-1050.0;-1050.0;-6977.147;;-6977.147;;0.0
Autres charges;6180000T;Services extérieurs divers ;;0.0;0.0;0.0;-482.03;-13329.0;0.0;0.0;0.0;-4000.0;-4000.0;-4000.0;-4000.0;-29811.03;;-29811.03;;0.0
Autres charges;6280000T;VIGNETTE ;;-260.0;-360.0;-160.0;0.0;-685.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1465.0;;-1465.0;;0.0
Autres charges;6300000T;CHARGE DIVERS ;;-1574.28;-2914.45;-965.0;-72.11;-658.887;-750.003;-3638.606;-408.606;-4333.333;-4333.333;-4333.333;-4333.333;-28315.273999999994;;-28315.273999999994;;0.0
Autres charges;6530000T;Jetons de présence ;;0.0;0.0;0.0;-187500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-187500.0;;-187500.0;;0.0
